-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
亻        dan       wth       NAAA      4EBB      D8E9      2         亻        32
亼        ji        wgf       ODA       4EBC      8191      3         人        341
亽        ra        wyu       ODS       4EBD      8192      3         人        344
亾        wu        nwi       ZOD       4EBE      8193      3         人        345
亿        yi        wnn       NYDA      4EBF      D2DA      3         亻        325
什        shen      wfh       NED       4EC0      CAB2      4         亻        3212
仁        ren       wfg       NBD       4EC1      C8CA      4         亻        3211
仂        le        wln       NYM       4EC2      D8EC      4         亻        3253
仃        ding      wsh       NAI       4EC3      D8EA      4         亻        3212
仄        ze        dwi       GGOD      4EC4      D8C6      4         人        1334
仅        jin       wcy       NXS       4EC5      BDF6      4         亻        3254
仆        pu        why       NID       4EC6      C6CD      4         亻        3224
仇        chou      wvn       NQY       4EC7      B3F0      4         亻        3235
仈        ba        wwy       NOVV      4EC8      8194      4         亻        3234
仉        zhang     wmn       NQD       4EC9      D8EB      4         亻        3235
今        jin       wynb      ODSX      4ECA      BDF1      4         人        3445
介        jie       wjj       ODND      4ECB      BDE9      4         人        3432
仌        bing      wwu       ODOD      4ECC      8195      4         人        3434
仍        reng      wen       NYM       4ECD      C8D4      4         亻        3253
从        cong      wwy       ODOD      4ECE      B4D3      4         人        3434
仏        fo        wcy       NZS       4ECF      8196      4         亻        3254
仐        tao       wfj       ODED      4ED0      8197      4         人        3412
仑        lun       wxb       ODRR      4ED1      C2D8      4         人        3435
仒        eo        wuu       ODTD      4ED2      8198      4         人        3444
仓        cang      wbb       ODYY      4ED3      B2D6      4         人        3455
仔        zai       wbg       NYA       4ED4      D7D0      5         亻        32521
仕        shi       wfg       NBVV      4ED5      CACB      5         亻        32121
他        ta        wbn       N/NYI     4ED6      CBFB      5         亻        32525
仗        zhang     wdyy      NAOS      4ED7      D5CC      5         亻        32134
付        fu        wfy       NDS       4ED8      B8B6      5         亻        32124
仙        xian      wmh       NLL       4ED9      CFC9      5         亻        32252
仚        xian      wmj       ODLL      4EDA      8199      5         人        34252
仛        zhe       wtab      NMHD      4EDB      819A      5         亻        32315
仜        hong      wag       NBI       4EDC      819B      5         亻        32121
仝        tong      waf       ODBI      4EDD      D9DA      5         人        34121
仞        ren       wvyy      NYS       4EDE      D8F0      5         亻        32534
仟        qian      wtfh      NME       4EDF      C7AA      5         亻        32312
仠        han       wfh       NAED      4EE0      819C      5         亻        32112
仡        yi        wtnn      NMYD      4EE1      D8EE      5         亻        32315
仢        bo        wqyy      NRS       4EE2      819D      5         亻        32354
代        dai       way       NHS       4EE3      B4FA      5         亻        32154
令        ling      wycu      ODW       4EE4      C1EE      5         人        34454
以        yi        nywy      ZSOD      4EE5      D2D4      4         人        5434
仦        chao      wiy       NKO       4EE6      819E      5         亻        32234
仧        zhang     hwu       IDAO      4EE7      819F      5         人        21134
仨        sa        wdg       NCD       4EE8      D8ED      5         亻        32111
仩        shang     whg       NIA       4EE9      81A0      5         亻        32211
仪        yi        wyqy      NSOS      4EEA      D2C7      5         亻        32434
仫        mu        wtcy      NMZS      4EEB      D8EF      5         亻        32354
们        men       wun       NTL       4EEC      C3C7      5         亻        32425
仭        ren       wlyy      NYS       4EED      81A1      5         亻        32534
仮        fan       wlyy      NPXS      4EEE      81A2      6         亻        323354
仯        miao      witt      NKM       4EEF      81A3      6         亻        322343
仰        yang      wqbh      NRY       4EF0      D1F6      6         亻        323552
仱        qian      wwgn      NOSX      4EF1      81A4      6         亻        323445
仲        zhong     wkhh      NJI       4EF2      D6D9      6         亻        322512
仳        pi        wxxn      NRRR      4EF3      D8F2      6         亻        321535
仴        wo        weg       NQVV      4EF4      81A5      6         亻        323511
仵        wu        wtfh      NMED      4EF5      D8F5      6         亻        323112
件        jian      wrhh      NMB       4EF6      BCFE      6         亻        323112
价        jia       wwjh      NOND      4EF7      BCDB      6         亻        323432
仸        yao       wtdu      NMGD      4EF8      81A6      6         亻        323134
仹        feng      wdhh      NCI       4EF9      81A7      6         亻        321112
仺        chuang    wagd      ODH       4EFA      81A8      5         人        34151
任        ren       wtfg      NMB       4EFB      C8CE      6         亻        323121
仼        wang      wgg       NCVV      4EFC      81A9      6         亻        321121
份        fen       wwvn      NOYD      4EFD      B7DD      6         亻        323453
仾        di        wgxg      NBZM      4EFE      81AA      6         亻        321551
仿        fang      wyn       NSY       4EFF      B7C2      6         亻        324153
伀        zhong     wwcy      NOZS      4F00      81AB      6         亻        323454
企        qi        whf       ODII      4F01      C6F3      6         人        342121
伂        pei       wgmh      NALI      4F02      81AC      6         亻        321252
伃        yu        wcbh      NXXI      4F03      81AD      6         亻        325452
伄        diao      wxhh      NYI       4F04      81AE      6         亻        325152
伅        dun       wgbn      NHZI      4F05      81AF      6         亻        321525
伆        wu        wqrt      NROD      4F06      81B0      6         亻        323533
伇        yi        wmcy      NQX       4F07      81B1      6         亻        323554
伈        xin       wny       NWZ       4F08      81B2      6         亻        324544
伉        kang      wymn      NSQD      4F09      D8F8      6         亻        324135
伊        yi        wvtt      NXMA      4F0A      D2C1      6         亻        325113
伋        ji        weyy      NYMS      4F0B      81B3      5         亻        32354
伌        ai        wdbn      NGYY      4F0C      81B4      6         亻        321355
伍        wu        wgg       NBX       4F0D      CEE9      6         亻        321251
伎        ji        wfcy      NEXS      4F0E      BCBF      6         亻        321254
伏        fu        wdy       NGS       4F0F      B7FC      6         亻        321344
伐        fa        wat       NHM       4F10      B7A5      6         亻        321534
休        xiu       wsy       NFVV      4F11      D0DD      6         亻        321234
伒        yin       wrh       NPD       4F12      81B5      6         亻        323312
伓        pi        wgiy      NGI       4F13      81B6      6         亻        321324
伔        shen      wpmn      NWQD      4F14      81B7      6         亻        324535
伕        fu        wfwy      NBOD      4F15      81B8      6         亻        321134
伖        tang      wdcy      NGXS      4F16      81B9      6         亻        321354
众        zhong     wwwu      ODOO      4F17      D6DA      6         人        343434
优        you       wdnn      NGR       4F18      D3C5      6         亻        321354
伙        huo       woy       NUO       4F19      BBEF      6         亻        324334
会        hui       wfcu      ODBZ      4F1A      BBE1      6         人        341154
伛        yu        waqy      NHOS      4F1B      D8F1      6         亻        321345
伜        zu        wcfh      NQED      4F1C      81BA      6         亻        323512
伝        yun       wfcy      NBZS      4F1D      81BB      6         亻        321154
伞        san       wuhj      ODUA      4F1E      C9A1      6         人        344312
伟        wei       wfnh      NBY       4F1F      CEB0      6         亻        321152
传        chuan     wfny      NBZS      4F20      B4AB      6         亻        321154
伡        ju        wlh       NHE       4F21      81BC      6         亻        321512
伢        ya        waht      NHI       4F22      D8F3      6         亻        321523
伣        xian      wmqn      NLR       4F23      81BD      6         亻        322535
伤        shang     wtln      NMYM      4F24      C9CB      6         亻        323153
伥        chang     wtay      NCH       4F25      D8F6      6         亻        323154
伦        lun       wwxn      NORR      4F26      C2D7      6         亻        323435
伧        cang      wwbn      NOYY      4F27      D8F7      6         亻        323455
伨        xun       wquf      NRTD      4F28      81BE      6         亻        323541
伩        xin       wyy       NSO       4F29      81BF      6         亻        324134
伪        wei       wyly      NUYS      4F2A      CEB1      6         亻        324354
伫        zhu       wpgg      NWA       4F2B      D8F9      6         亻        324451
伬        ze        wnyy      NXS       4F2C      81C0      6         亻        325134
伭        xian      wyxy      NSZZ      4F2D      81C1      7         亻        3241554
伮        nu        wvcy      NZXS      4F2E      81C2      7         亻        3253154
伯        bo        wrg       NNK       4F2F      B2AE      7         亻        3232511
估        gu        wdg       NEJ       4F30      B9C0      7         亻        3212251
伱        ni        wwiy      NOKO      4F31      81C3      7         亻        3234234
伲        ni        wnxn      NXRR      4F32      D9A3      7         亻        3251335
伳        xie       wann      NEZ       4F33      81C4      7         亻        3212215
伴        ban       wufh      NUB       4F34      B0E9      7         亻        3243112
伵        xu        wlg       NLK       4F35      81C5      7         亻        3225351
伶        ling      wwyc      NOW       4F36      C1E6      7         亻        3234454
伷        zhou      wmg       NKIA      4F37      81C6      7         亻        3225121
伸        shen      wjhh      NKIC      4F38      C9EC      7         亻        3225112
伹        zu        wegg      NLC       4F39      81C7      7         亻        3225111
伺        si        wngk      NYAJ      4F3A      CBC5      7         亻        3251251
伻        beng      wguh      NAUA      4F3B      81C8      7         亻        3214312
似        shi       wnyw      NZOD      4F3C      CBC6      6         亻        325434
伽        ga        wlkg      NYJ       4F3D      D9A4      7         亻        3253251
伾        pi        wgig      NGA       4F3E      81C9      7         亻        3213241
伿        yi        wkwy      NJO       4F3F      81CA      7         亻        3225134
佀        si        whnn      NYVV      4F40      81CB      7         亻        3225151
佁        yi        wckg      NZJ       4F41      81CC      7         亻        3254251
佂        zheng     wghg      NAII      4F42      81CD      7         亻        3212121
佃        dian      wlg       NKI       4F43      B5E8      7         亻        3225121
佄        han       wafg      NEB       4F44      81CE      7         亻        3212211
佅        mai       wfiy      NBKO      4F45      81CF      7         亻        3211234
但        dan       wjgg      NKA       4F46      B5AB      7         亻        3225111
佇        zhu       wpsh      NWAI      4F47      81D0      7         亻        3244512
佈        bu        wdmh      NGLI      4F48      81D1      7         亻        3213252
佉        qu        wfcy      NBZS      4F49      81D2      7         亻        3212154
佊        bi        whcy      NXI       4F4A      81D3      7         亻        3253254
佋        zhao      wvkg      NYJ       4F4B      81D4      7         亻        3253251
佌        ci        whxn      NIRR      4F4C      81D5      8         亻        32212135
位        wei       wug       NSU       4F4D      CEBB      7         亻        3241431
低        di        wqay      NRS       4F4E      B5CD      7         亻        3235154
住        zhu       wygg      NSC       4F4F      D7A1      7         亻        3241121
佐        zuo       wdag      NGBI      4F50      D7F4      7         亻        3213121
佑        you       wdkg      NGJ       4F51      D3D3      7         亻        3213251
佒        yang      wmdy      NLGD      4F52      81D6      7         亻        3225134
体        ti        wsgg      NFA       4F53      CCE5      7         亻        3212341
佔        zhan      whkg      NIJ       4F54      81D7      7         亻        3221251
何        he        wskg      NAJ       4F55      BACE      7         亻        3212512
佖        bi        wntt      NWM       4F56      81D8      7         亻        3245434
佗        tuo       wpxn      NWRR      4F57      D9A2      7         亻        3244535
佘        she       wfiu      ODBK      4F58      D9DC      7         人        3411234
余        yu        wtu       ODMF      4F59      D3E0      7         人        3411234
佚        yi        wrwy      NMOD      4F5A      D8FD      7         亻        3231134
佛        fo        wxjh      NYND      4F5B      B7F0      7         亻        3251532
作        zuo       wthf      NMID      4F5C      D7F7      7         亻        3231211
佝        gou       wqkg      NRJ       4F5D      D8FE      7         亻        3235251
佞        ning      wfvg      NBZM      4F5E      D8FA      7         亻        3211531
佟        tong      wtuy      NRTD      4F5F      D9A1      7         亻        3235444
你        ni        wqiy      NRKO      4F60      C4E3      7         亻        3235234
佡        xian      wwmh      NOLL      4F61      81D9      7         亻        3234252
佢        qu        wang      NHX       4F62      81DA      6         亻        321515
佣        yong      weh       NLD       4F63      D3B6      7         亻        3235112
佤        wa        wgnn      NAYS      4F64      D8F4      6         亻        321554
佥        qian      wgif      ODBV      4F65      D9DD      7         人        3414431
佦        shi       wdg       NGVV      4F66      81DB      7         亻        3213251
佧        ka        whhy      NIAI      4F67      D8FB      7         亻        3221124
佨        bao       wqnn      NRY       4F68      81DC      7         亻        3235515
佩        pei       wmgh      NQAL      4F69      C5E5      8         亻        32351252
佪        hui       wlkd      NJJ       4F6A      81DD      8         亻        32252511
佫        he        wtkg      NRJ       4F6B      81DE      8         亻        32354251
佬        lao       wftx      NBRR      4F6C      C0D0      8         亻        32121335
佭        xiang     wtah      NRMB      4F6D      81DF      8         亻        32354152
佮        ge        wwgk      NOAJ      4F6E      81E0      8         亻        32341251
佯        yang      wudh      NUC       4F6F      D1F0      8         亻        32431112
佰        bai       wdjg      NANK      4F70      B0DB      8         亻        32132511
佱        fa        wfhf      ODBI      4F71      81E1      8         亻        34112121
佲        ming      wqkg      NRJ       4F72      81E2      8         亻        32354251
佳        jia       wffg      NBB       4F73      BCD1      8         亻        32121121
佴        er        wbg       NCE       4F74      D9A6      8         亻        32122111
併        bing      wuah      NUE       4F75      81E3      8         亻        32431132
佶        ji        wfkg      NBJ       4F76      D9A5      8         亻        32121251
佷        heng      wvey      NXO       4F77      81E4      8         亻        32511534
佸        huo       wtdg      NMI       4F78      81E5      8         亻        32312251
佹        gui       wqdb      NRGY      4F79      81E6      8         亻        32351355
佺        quan      wwgg      NOC       4F7A      81E7      8         亻        32341121
佻        tiao      wiqn      NVRD      4F7B      D9AC      8         亻        32341534
佼        jiao      wuqy      NSOO      4F7C      D9AE      8         亻        32413434
佽        ci        wuqw      NTRO      4F7D      81E8      8         亻        32413534
佾        yi        wweg      NOQ       4F7E      D9AB      8         亻        32342511
使        shi       wgkq      NAJO      4F7F      CAB9      8         亻        32125134
侀        xing      wgaj      NAEK      4F80      81E9      8         亻        32113222
侁        shen      wtfq      NMRD      4F81      81EA      8         亻        32312135
侂        tuo       wyta      NTMH      4F82      81EB      8         亻        32413315
侃        kan       wkqn      NJND      4F83      D9A9      8         亻        32251325
侄        zhi       wgcf      NHB       4F84      D6B6      8         亻        32154121
侅        hai       qynw      NSZO      4F85      81EC      8         亻        32415334
來        lai       swwi      FOOD      4F86      81ED      8         亻        13434234
侇        yi        wgxw      NGYZ      4F87      81EE      8         亻        32151534
侈        chi       wqqy      NRRS      4F88      B3DE      8         亻        32354354
侉        kua       wdfn      NGBZ      4F89      D9A8      8         亻        32134115
侊        guang     wigq      NKGR      4F8A      81EF      8         亻        32243135
例        li        wgqj      NARK      4F8B      C0FD      8         亻        32135422
侌        yin       wync      ODBZ      4F8C      81F0      8         人        34451154
侍        shi       wffy      NBDS      4F8D      CACC      8         亻        32121124
侎        mi        woy       NUF       4F8E      81F1      8         亻        32431234
侏        zhu       wriy      NMKO      4F8F      D9AA      8         亻        32311234
侐        xu        wtlg      NMLK      4F90      81F2      8         亻        32325221
侑        you       wdeg      NGQ       4F91      D9A7      8         亻        32132511
侒        an        wpvg      NWZM      4F92      81F3      8         亻        32445531
侓        lu        wvfh      NXBD      4F93      81F4      8         亻        32511112
侔        mou       wcrh      NZMB      4F94      D9B0      8         亻        32543112
侕        er        wdmj      NGL       4F95      81F5      8         亻        32132522
侖        lun       wgma      ODAL      4F96      81F6      8         人        34125122
侗        dong      wmgk      NLD       4F97      B6B1      8         亻        32251251
侘        cha       wpta      NWMH      4F98      81F7      8         亻        32445315
侙        chi       waaf      NHBI      4F99      81F8      8         亻        32112154
侚        xun       wqjg      NRK       4F9A      81F9      8         亻        32352511
供        gong      wawy      NEO       4F9B      B9A9      8         亻        32122134
侜        zhou      wtey      NPY       4F9C      81FA      8         亻        32335414
依        yi        wyey      NSRH      4F9D      D2C0      8         亻        32413534
侞        ru        wvkg      NZJ       4F9E      81FB      8         亻        32531251
侟        jian      wdhb      NGIY      4F9F      81FC      8         亻        32132521
侠        xia       wguw      NBUO      4FA0      CFC0      8         亻        32143134
価        si        wny       NFJ       4FA1      81FD      8         亻        32125221
侢        dai       wgmf      NALB      4FA2      81FE      8         亻        32125211
侣        lv        wkkg      NJJ       4FA3      C2C2      8         亻        32251251
侤        ta        wftn      NBAZ      4FA4      8240      8         亻        32121315
侥        yao       watq      NHGR      4FA5      BDC4      8         亻        32153135
侦        zhen      whmy      NILO      4FA6      D5EC      8         亻        32212534
侧        ce        wmjh      NLKD      4FA7      B2E0      8         亻        32253422
侨        qiao      wtdj      NMGN      4FA8      C7C8      8         亻        32313432
侩        kuai      wwfc      NOBZ      4FA9      BFEB      8         亻        32341154
侪        chai      wyjh      NSND      4FAA      D9AD      8         亻        32413432
侫        ning      wynv      NSZM      4FAB      8241      8         亻        32415531
侬        nong      wpey      NWRH      4FAC      D9AF      8         亻        32453534
侭        jin       wnyu      NXST      4FAD      8242      8         亻        32513444
侮        wu        wtxu      NMZY      4FAE      CEEA      9         亻        323155414
侯        hou       wntd      NXMA      4FAF      BAEE      9         亻        325131134
